station_name,station_id,index_nbr,latitude,longitude,obs_rems
ABHA,264292967,41112,18 14 00N,042 39 00E,"A, R, GOS, GUAN, CLIMAT(C), RBCN, RBSN(ST)"
ABHA SUB.,264292965,41106,18 14 00N,042 28 00E,GOS
ABIDJAN,264285389,65578,05 15 00N,003 56 00W,"A, R, WT, GOS, GUAN, CLIMAT(C), RBCN, RBSN(ST)"
"ABILENE/MUN., TX.",264299015,72266,32 25 00N,099 41 00W,"A, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
ABJORSBRATEN,264306843,1369,60 55 05N,009 17 24E,GOS
ABONG-MBANG,264285153,64960,03 58 00N,013 12 00E,"GOS, RBCN"
ABOYNE NO2,264310251,3080,57 04 33N,002 50 28W,GOS
"ABRAHAM'S BAY,  MAYAGUANA",264296373,78109,22 22 00N,072 58 00W,GOS
"ABRAHAM'S BAY, MAYAGUANA",264296371,78108,22 23 00N,073 01 00W,GOS
ABRAMOVSKIJ MAJAK,264307665,22365,66 24 32N,043 16 03E,GOS
ABRAQUE MAZRAA,264290649,40573,29 22 13N,046 58 07E,"GOS, CLIMAT(C)"
ABROLHOS (83499-0),264294749,83499,17 58 00S,038 42 00W,GOS
ABROLHOS (86765-0),264295389,86765,17 57 51S,038 41 46W,GOS
ABU DHABI BATEEN AIRPORT,264293431,41216,24 26 00N,054 28 00E,"A, C, GOS, CLIMAT(C)"
ABU DHABI INTERNATIONAL AIRPORT,264293433,41217,24 26 00N,054 39 00E,"A, R, GOS, GUAN, CLIMAT(C), RBCN, RBSN(ST)"
ABU HAMED,264286819,62640,19 32 00N,033 19 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
ABU MUSA,264289505,40890,25 52 27N,055 00 48E,"A, GOS, RBSN(S)"
ABU NA'AMA,264286871,62795,12 44 00N,034 08 00E,"AGRIMET, GOS, CLIMAT(C), RBCN, RBSN(S)"
ABU NJAYM,264285767,62018,30 21 19N,015 15 15E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
ABU SAMRA,264291289,41178,24 45 00N,050 49 00E,GOS
ABU SIMBEL,264285465,62419,22 22 33N,031 36 42E,"GOS, RBSN(S)"
ABUJA,264286255,65125,09 15 00N,007 00 00E,"GOS, RBCN, RBSN(ST)"
ABUKMAL,264309693,40072,34 25 00N,040 55 00E,"GOS, RBSN(S)"
ABURATSU,264290081,47835,31 34 42N,131 24 29E,GOS
ABURDEES,264285493,62458,28 54 38N,033 11 44E,"GOS, RBSN(S)"
"ACADIA VALLEY, ALTA",264296481,71048,51 03 58N,110 19 01W,GOS
ACAJUTLA,264298391,78650,13 34 35N,089 50 00W,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
"ACAPULCO, GRO.",264298653,76805,16 45 46N,099 44 58W,"A, R, GOS, CLIMAT(C), RBCN, RBSN(ST)"
ACARAU (81755-0),264293973,81755,03 07 15S,040 05 13W,GOS
ACARAU (82294-0),264294253,82294,02 53 00S,040 08 00W,GOS
ACARIGUA,264296279,80427,09 33 00N,069 14 00W,"A, GOS, CLIMAT(C), RBCN"
ACCRA,264285671,65472,05 36 00N,000 10 00W,"A, GOS, CLIMAT(C), RBCN, RBSN(SP)"
ACHENKIRCH,264303155,11328,47 31 56N,011 42 19E,GOS
ACHENKIRCH CAMPINGPLATZ,264303247,11266,47 29 58N,011 42 24E,GOS
ACHINSK,264292051,29467,56 17 00N,090 31 00E,"GOS, RBSN(S)"
ACHTOPOL,264303613,15661,42 06 00N,027 51 00E,"C, GOS"
ACQUAROSSA / COMPROVASCO,264309515,6756,46 27 34N,008 56 08E,GOS
ADA,264285675,65475,05 47 00N,000 38 00E,"GOS, RBCN, RBSN(S)"
ADAM AIRPORT,264291045,41264,22 29 59N,057 22 12E,"A, GOS"
ADAMCLISI,264307589,15479,44 05 18N,027 57 56E,"AGRIMET, GOS"
ADANA,264309971,17352,36 59 02N,035 17 53E,"A, GOS"
ADANA/BOLGE,264309969,17351,36 59 00N,035 21 00E,"GOS, CLIMAT(C), RBCN, RBSN(T)"
ADANA/INCIRLIK,264309967,17350,37 00 00N,035 25 00E,"A, GOS, RBSN(S)"
ADAPAZARI,264309757,17069,40 47 00N,030 25 00E,"GOS, CLIMAT(C), RBCN"
ADDIS ABABA-BOLE,264285537,63450,09 02 00N,038 45 00E,"A, AGRIMET, R, GOS, GSN, GUAN, CLIMAT(C), RBCN, RBSN(ST), CTBTO"
ADDO ELEPHANT PARK,264286729,68841,33 26 32S,025 44 55E,GOS
ADEB LERRACH,264284883,60623,27 24 00N,008 50 00E,GOS
ADELAIDE AIRPORT,264300521,94672,34 57 09S,138 31 13E,"A, R, RADAR, WR, GOS, CLIMAT(C), RBCN, RBSN(ST), WRO"
ADELBODEN,264309487,6735,46 29 32N,007 33 38E,GOS
ADELE ISLAND,264300021,94210,15 30 41S,123 09 20E,GOS
ADELSO,264309079,2486,59 21 30N,017 31 28E,GOS
ADEN,264293615,41480,12 50 00N,045 02 00E,"A, C, R, GOS, CLIMAT(C), RBCN, RBSN(S)"
ADIAKE,264285391,65585,05 18 00N,003 18 00W,"GOS, CLIMAT(C), RBSN(S), GSN, RBCN"
ADILABAD,264289037,43025,19 39 00N,078 32 00E,GOS
ADIYAMAN,264309921,17265,37 45 00N,038 17 00E,"GOS, CLIMAT(C), RBCN"
ADJUD,264307419,15219,46 06 17N,027 10 13E,"AGRIMET, GOS"
ADO EKITI,264286281,65224,07 39 00N,005 12 00E,GOS
ADRAR,264284879,60620,27 49 00N,000 11 00W,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AEDEY,264305535,4017,66 06 00N,022 39 36W,"C, LH, GOS, GOS"
"AEROP. INTERNACIONAL MEXICO, D.F.",264298617,76679,19 26 00N,099 08 00W,"A, R, GOS, RBSN(T)"
"AEROP.INTERNACIONAL MERIDA, YUC",264298597,76644,20 56 49N,089 39 08W,"A, R, GSN, RBCN, RBSN(ST), GOS, CLIMAT(C)"
"AEROP.INTERNACIONAL MONTERREY, N.L.",264298543,76394,25 52 00N,100 14 00W,"A, R, GOS, RBSN(T)"
AEROPARQUE BS. AS. AERO,264293755,87582,34 34 00S,058 25 00W,"A, GOS, CLIMAT(C), RBSN(S)"
AEROPUERTO INT. GUARANI,264296105,86246,25 27 00S,054 50 00W,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AEROPUERTO INTERNACIONAL DE LA ROMANA,264298389,78488,18 27 00N,068 55 00W,"A, GOS"
"AEROPUERTO JOSE MARTI, RANCHO-BOYEROS,  HABANA",264298203,78224,22 59 00N,082 24 00W,"A, GOS"
"AEROPUERTO SILVIO PETTIROSSI, LUQUE",264296097,86218,25 14 00S,057 31 00W,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AFARA,264284921,60677,25 20 00N,007 48 00E,GOS
AFJORD II,264306709,1242,63 57 58N,010 12 57E,GOS
AFLENZ,264303213,11375,47 32 45N,015 14 27E,GOS
AFONSOS (AERO),264294955,83748,22 52 00S,043 23 00W,"A, GOS"
AFYON,264309855,17190,38 45 00N,030 32 00E,"GOS, CLIMAT(C), RBCN"
AFYONKARAHISAR/MEYDAN,264309853,17189,38 44 00N,030 36 00E,"A, GOS, RBSN(S)"
AGADEZ,264286193,61024,16 58 00N,007 59 00E,"A, GOS, GSN, CLIMAT(C), RBCN, RBSN(SP), CTBTO"
AGADIR AL MASSIRA,264286063,60252,30 19 44N,009 23 58W,"A, R, WT, GOS, RBSN(ST)"
AGADIR INEZGANNE,264286061,60250,30 23 00N,009 34 00W,"A, GOS, CLIMAT(C), RBSN(S)"
AGALEGA,264285987,61974,10 23 00S,056 36 00E,"C, GOS"
AGARD,264305485,12846,47 11 00N,018 37 00E,GOS
AGARTALA,264288827,42724,23 53 00N,091 15 00E,"A, R, WN, WR, GOS, RBSN(ST)"
"AGASSIZ RCS, BC",264296589,71113,49 14 35N,121 45 37W,"GOS, RBSN(S)"
AGATA,264291405,23383,66 55 34N,093 29 33E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
AGAUN,264302339,92068,09 58 00S,149 23 00E,"A, GOS"
AGAYAKAN,264291613,24684,63 20 00N,141 44 00E,"GOS, RBSN(S)"
AGDAM,264303343,37893,39 59 00N,046 45 00E,"GOS, CLIMAT(C)"
AGEDABIA,264285775,62055,30 43 00N,020 10 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
AGEN,264304631,7524,44 10 20N,000 35 41E,"A, GOS"
AGIG,264286831,62675,18 14 00N,038 11 00E,"C, GOS"
AGINSKOE (29676-0),264292143,29676,55 16 12N,094 53 59E,"GOS, RBSN(S)"
AGINSKOE (30859-0),264292421,30859,51 06 00N,114 31 00E,"GOS, RBSN(S)"
AGO-1,264310681,89628,83 52 00S,129 37 00E,"GOS, ANTON, CLIMAT(C)"
AGO-2,264310533,89049,85 40 00S,046 23 00W,"GOS, ANTON, CLIMAT(C)"
AGO-3,264310633,89528,82 46 00S,028 35 00E,"GOS, ANTON, CLIMAT(C)"
AGO-4,264310663,89598,82 01 00S,096 46 00E,"GOS, ANTON, CLIMAT(C)"
AGO-5,264310679,89627,77 14 00S,123 31 00E,GOS
AGO-6,264310683,89637,69 31 00S,130 01 00E,GOS
AGRA (42260-0),264288513,42260,27 09 00N,077 58 00E,"A, GOS, RBSN(S)"
AGRA (42261-0),264288515,42261,27 10 00N,078 02 00E,"GOS, CLIMAT(C)"
AGRI,264309791,17099,39 44 00N,043 03 00E,"GOS, CLIMAT(C), RBCN"
"AGROMET OBSERVATORY, SAKRAND",264291241,41745,25 08 00N,068 16 00E,GOS
AGSTAPHA AIRPORT,264303257,37639,41 08 00N,045 25 00E,GOS
AGUA BOA,264295267,86686,14 00 58S,052 12 44W,GOS
AGUA BRANCA,264294495,82989,09 17 00S,037 54 00W,GOS
AGUA CLARA,264295465,86812,20 25 26S,052 52 48W,GOS
"AGUADA DE PASAJEROS,  CIENFUEGOS",264298265,78335,22 23 00N,080 51 00W,GOS
AGUAS EMENDADAS,264295313,86716,15 35 47S,047 37 33W,GOS
AGUAS VERMELHAS,264295323,86722,15 45 16S,041 27 28W,GOS
"AGUASCALIENTES, AGS.",264298573,76571,21 51 04N,102 17 28W,GOS
AGUION,264308565,8019,43 27 45N,006 18 07W,GOS
AGUMBE EMO,264289195,43257,13 30 00N,075 05 00E,GOS
AGZU,264292599,31825,47 36 00N,138 24 00E,"GOS, RBSN(S)"
AHAR,264289361,40704,38 26 00N,047 04 00E,"GOS, RBSN(S)"
AHAUS,264304917,10309,52 04 53N,006 56 27E,"GOS, CLIMAT(C)"
AHMADABAD,264288775,42647,23 04 00N,072 38 00E,"A, R, WN, WT, GOS, CLIMAT(C), RBCN, RBSN(ST)"
AHMADI LIGHT VESSEL,264290671,40591,28 56 00N,048 53 00E,"GOS, CLIMAT(C)"
AHMADI OIL PIER,264290657,40583,29 04 00N,048 10 00E,"GOS, CLIMAT(C)"
AHMADNAGAR,264289019,43009,19 05 00N,074 48 00E,GOS
AHTARI MYLLYMAKI,264304305,2924,62 32 06N,024 13 02E,"GOS, RBSN(S)"
AHWAZ,264289449,40811,31 20 41N,048 44 39E,"A, R, GOS, RBSN(S)"
AI RUWAIS,264291265,41160,26 09 00N,051 12 00E,GOS
AI-PETRI,264310159,33998,44 26 00N,034 05 00E,"M, GOS, GSN, CLIMAT(C), RBCN"
AIGEN IM ENNSTAL,264303019,11157,47 31 58N,014 08 18E,"A, GOS, RBSN(S)"
AIGLE,264309447,6712,46 19 36N,006 55 28E,"AGRIMET, GOS"
AIHUI,264287481,50468,50 15 00N,127 27 00E,GOS
AIJAL,264288831,42727,23 44 00N,092 45 00E,"M, GOS"
AIKAWA,264289777,47602,38 01 45N,138 14 24E,GOS
AILIGANDI,264298715,78789,09 15 00N,078 02 00W,GOS
"AILINGLAPALAP ATOLL, MARSHALL IS.",264301935,91367,07 16 00N,168 50 00E,"GOS, RBSN(S)"
"AILINGLAPLAP, MARSHALL IS.",264301937,91368,07 16 00N,168 50 00E,GOS
AIMORES (83595-0),264294821,83595,19 29 00S,041 04 00W,"GOS, RBSN(S)"
AIMORES (86803-0),264295451,86803,19 30 12S,041 03 53W,GOS
AIN BENAIN,264284749,60374,36 47 00N,002 53 00E,GOS
AIN-BESSAM,264284773,60415,36 17 00N,003 40 00E,"GOS, CLIMAT(C)"
AIN-SEFRA,264284845,60560,32 46 00N,000 36 00W,"GOS, CLIMAT(C), RBCN, RBSN(S)"
AINALTAMER,264289581,40655,32 33 00N,044 43 00E,GOS
AINAZI,264306103,26229,57 52 04N,024 21 57E,GOS
AIOUN EL ATROUSS,264285981,61499,16 42 00N,009 36 00W,"GOS, CLIMAT(C), RBCN, RBSN(S)"
"AIR FORCE ACADEMY,  CO.",264299745,74531,38 58 00N,104 49 00W,GOS
AIREYS INLET,264300771,94846,38 27 30S,144 05 18E,"C, GOS"
AITUTAKI AWS,264301515,91831,18 50 00S,159 46 00W,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
AIYURA,264302307,92016,06 19 00S,145 54 00E,GOS
AJACCIO,264304745,7761,41 55 05N,008 47 34E,"A, R, GOS, CLIMAT(C), RBCN, RBSN(ST)"
AJIRO,264289873,47668,35 02 47N,139 05 31E,GOS
AJMER,264288557,42343,26 27 00N,074 37 00E,GOS
AJON,264291695,25042,69 55 07N,167 58 08E,"GOS, RBSN(S)"
AK'JAR,264292731,35037,51 52 23N,058 13 23E,"GOS, RBSN(S)"
AK-BAJTAL,264293447,38178,43 09 00N,064 20 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
AK-BULAK,264292739,35127,51 01 00N,055 38 00E,"GOS, RBSN(S)"
AK-DEPE,264293333,38261,42 03 00N,059 22 00E,GOS
AKATSI,264285663,65462,06 07 00N,000 48 00E,GOS
AKENO AB,264289931,47730,34 32 00N,136 40 20E,"A, GOS"
AKHALTSIKHE,264304779,37514,41 39 02N,043 00 25E,"GOS, RBSN(S)"
AKHISAR,264309845,17184,38 55 00N,027 51 00E,"GOS, RBSN(S)"
AKHTY,264308367,37663,41 28 00N,047 45 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
AKIM ODA,264285657,65457,05 56 00N,000 59 00W,"GOS, RBCN, RBSN(S)"
AKINCI,264309813,17127,40 04 00N,032 34 00E,"A, GOS"
AKITA (47582-0),264289749,47582,39 43 03N,140 05 57E,"RADAR, GOS, GSN, CLIMAT(C), RBCN, RBSN(S), WRO"
AKITA (47582-1),264290201,47582,39 43 03N,140 05 57E,"R, RADAR, WN, GOS, RBSN(T), WRO"
AKITA AIRPORT,264289719,47545,39 36 56N,140 13 07E,"A, GOS"
AKJOUJT,264285963,61437,19 45 00N,014 22 00W,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AKKOL',264290241,35085,52 00 00N,070 57 00E,"GOS, RBSN(S)"
AKKUDUK,264290365,38232,42 58 00N,054 07 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
AKMOLLA,264293365,38665,39 35 00N,059 57 00E,"GOS, CLIMAT(C)"
AKOLA,264288977,42934,20 42 00N,077 04 00E,"A, GOS"
AKQI,264287563,51711,40 56 00N,078 27 00E,GOS
AKRABAT,264293507,38818,38 15 00N,066 50 00E,"M, GOS"
AKRABERG FYR,264303799,6009,61 23 44N,006 40 54W,"LH, GOS"
AKRON/AKRON-CANTON REG. OH.,264299359,72521,40 55 00N,081 26 00W,"A, GOS, CLIMAT(C)"
AKROTIRI,264303711,17601,34 35 34N,032 59 16E,"A, GOS"
AKSA,264292437,30957,50 16 00N,113 16 00E,"GOS, RBSN(S)"
AKSAKOVO,264291951,28719,54 01 29N,054 08 50E,"GOS, RBSN(S)"
AKSARAY,264309859,17192,38 23 00N,034 03 00E,"C, GOS"
AKSEHIR,264309901,17239,38 21 00N,031 25 00E,"C, GOS"
AKSELOYA,264306493,1017,77 41 19N,014 47 02E,GOS
AKTION (AIRPORT),264305281,16643,38 55 19N,020 46 07E,"A, GOS, RBSN(S)"
AKTOBE,264290255,35229,50 17 00N,057 09 00E,"GOS, CLIMAT(C), RBCN, RBSN(ST)"
AKUNE,264290067,47823,32 01 40N,130 12 00E,GOS
AKURE,264286285,65232,07 17 00N,005 18 00E,GOS
AKUREYRI,264305561,4063,65 41 00N,018 05 00W,"C, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
AKUSE,264285661,65460,06 06 00N,000 07 00E,"GOS, RBCN"
AL AIN INTERNATIONAL AIRPORT,264293435,41218,24 16 00N,055 36 00E,"A, GOS, CLIMAT(C), RBSN(S)"
AL AMERAT,264291061,41280,23 30 03N,058 28 51E,GOS
AL HOCEIMA,264286009,60107,35 11 00N,003 51 00W,"A, GOS, RBSN(S)"
AL MUDHAIBI,264291067,41292,22 30 42N,058 07 29E,GOS
AL-AHSA,264292891,40420,25 18 00N,049 29 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AL-ARABIAH ISLAND,264292867,40399,27 24 00N,050 06 00E,GOS
AL-ARROUB,264307049,40242,31 56 00N,035 13 00E,GOS
AL-ARZ (LES CEDRES),264306161,40105,34 15 00N,036 03 00E,"M, GOS"
AL-BAHA,264292951,41055,20 18 00N,041 39 00E,"A, GOS, CLIMAT(C)"
AL-BAHA A.W.S.,264292953,41056,19 58 00N,041 31 00E,GOS
AL-BAYDHA,264293609,41453,14 06 00N,045 26 00E,GOS
AL-BOUQE,264293571,41363,17 19 00N,044 36 00E,"A, GOS, RBSN(S)"
AL-DAWADAMI,264292905,40435,26 59 00N,044 07 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AL-FAO,264289619,40691,29 59 00N,048 30 00E,"C, GOS"
AL-GHAIDAH,264293583,41398,16 05 00N,052 05 00E,"A, GOS, RBSN(S)"
AL-GHAZALAH,264292857,40392,26 47 00N,041 19 00E,GOS
AL-HADA,264292947,41035,21 20 00N,040 16 00E,GOS
AL-HOAGE,264292847,40381,28 53 00N,038 54 00E,GOS
AL-HULAIFAH,264292849,40386,26 00 00N,040 49 00E,"GOS, RBSN(S)"
AL-JOUF (40361-0),264292813,40361,29 47 00N,040 06 00E,"A, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
AL-JOUF (41393-0),264293579,41393,16 09 00N,044 47 00E,"A, GOS, RBSN(S)"
AL-JUBAIL,264292863,40397,27 05 00N,049 40 00E,GOS
AL-KAEM,264289547,40627,34 23 00N,041 01 00E,GOS
AL-KHAFJI,264292845,40380,28 24 00N,048 30 00E,GOS
AL-KHALIS,264289563,40638,33 50 00N,044 32 00E,GOS
AL-KHARJ,264292919,40445,24 09 00N,047 19 00E,GOS
AL-KHUSARIAH,264292921,40450,23 44 00N,044 38 00E,GOS
AL-MADINAH,264292897,40430,24 33 00N,039 42 00E,"A, R, WN, GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
AL-MAHWIT,264293591,41408,15 30 00N,043 30 00E,GOS
AL-MARJ,264285773,62054,32 31 00N,020 53 00E,"CLIMAT(C), RBCN, RBSN(S), GOS"
AL-MUWAYLAH,264292837,40374,27 42 00N,035 29 00E,GOS
AL-QAISUMAH,264292835,40373,28 19 00N,046 08 00E,"A, R, WN, GOS, CLIMAT(C), RBCN, RBSN(ST)"
AL-QATIF-GOSP-3,264292887,40418,26 50 00N,049 58 00E,GOS
AL-QUNFUDAH,264292959,41080,19 07 00N,041 05 00E,"GOS, RBSN(S)"
AL-RASTAN,264309679,40041,34 56 00N,036 44 00E,GOS
AL-SADDAH,264293601,41438,14 08 00N,044 22 00E,"GOS, RBSN(S)"
AL-SALMAN,264289611,40684,30 29 00N,044 33 00E,"GOS, RBSN(S)"
AL-SOUDAH,264292963,41100,18 18 00N,042 21 00E,GOS
AL-TAIF,264292949,41036,21 29 00N,040 33 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AL-WEJH,264292869,40400,26 12 00N,036 29 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
AL-ZABERAH,264292817,40363,28 00 00N,041 27 00E,GOS
ALABAT,264302435,98435,14 06 20N,122 01 03E,"GOS, CLIMAT(C)"
ALAGOINHAS,264294611,83249,12 17 00S,038 33 00W,GOS
ALAJARVI MOKSY,264304141,2787,63 05 20N,024 15 39E,GOS
"ALAMEDA/NAS, CA.",264299735,74506,37 47 00N,122 19 00W,"A, GOS"
"ALAMOSA, CO.",264299279,72462,37 26 00N,105 52 00W,"GOS, RBSN(S)"
ALANYA,264309959,17310,36 33 00N,032 00 00E,"C, GOS, RBSN(S)"
ALAPAEVSK,264291825,28248,57 52 00N,061 42 00E,GOS
ALAPUZHA,264289313,43352,09 33 00N,076 25 00E,"C, GOS"
ALAR,264287567,51730,40 30 00N,081 03 00E,"GOS, RBSN(S)"
ALAT,264303365,37923,39 58 00N,049 24 00E,GOS
ALATYR',264308033,27679,54 49 00N,046 35 00E,"GOS, RBSN(S)"
ALBA IULIA,264307411,15208,46 03 50N,023 33 48E,GOS
ALBACETE/LOS LLANOS,264308671,8280,38 57 06N,001 51 45W,"A, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
ALBANY,264300703,94801,35 01 44S,117 52 51E,"C, RADAR, GOS, WRO"
ALBANY AIRPORT,264300705,94802,34 56 29S,117 48 08E,"A, R, RADAR, WR, GOS, GSN, CLIMAT(C), RBCN, RBSN(ST), WRO"
"ALBANY COUNTY AIRPORT, NY.",264299353,72518,42 45 00N,073 48 00W,"A, GOS, RBSN(S)"
"ALBANY, NY.",264299917,72518,42 41 31N,073 49 56W,"GOS, RBSN(T)"
"ALBANY/MUN., GA",264298927,72216,31 32 00N,084 11 00W,"A, GOS"
ALBEMARLE,264310307,3238,55 01 11N,001 52 54W,"WN, WR, GOS, RBSN(T)"
ALBENGA,264305773,16122,44 02 45N,008 07 32E,"A, GOS"
ALBERSCHWENDE,264303129,11301,47 27 27N,009 50 55E,GOS
"ALBERT HALL AGCM, ALTA",264296401,71005,53 06 48N,111 10 52W,GOS
ALBI,264304695,7632,43 54 53N,002 06 59E,"A, GOS"
ALBIS,264309363,6661,47 17 03N,008 30 43E,"WR, GOS"
"ALBUQUERQUE/INT., NM.",264299149,72365,35 02 16N,106 37 19W,"A, R, WT, GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
ALBURY AIRPORT AWS,264301401,95896,36 04 08S,146 57 03E,"A, GOS"
ALCOMAT,264294629,83302,14 15 00S,059 15 00W,GOS
ALDABRA,264286371,63995,09 21 00S,046 32 00E,"GOS, RBCN, RBSN(S)"
ALDAN,264292453,31004,58 37 00N,125 22 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
ALDERGROVE,264310499,3917,54 39 48N,006 13 33W,"A, RADAR, GOS, RBCN, RBSN(S), WRO"
ALEG,264285971,61470,17 03 00N,012 55 00W,GOS
ALEGRE,264295491,86828,20 45 02S,041 29 20W,GOS
ALEGRETE (83931-0),264295095,83931,29 41 00S,055 31 00W,GOS
ALEGRETE (86975-0),264295737,86975,29 42 42S,055 31 34W,GOS
ALEJSKAJA,264292221,29937,52 31 00N,082 46 00E,"GOS, RBSN(S)"
ALEKSANDROV,264307967,27428,56 24 00N,038 45 00E,GOS
ALEKSANDROV-GAJ,264308195,34391,50 09 00N,048 33 00E,"GOS, RBSN(S)"
ALEKSANDROVSK-SAHALINSKIJ,264292659,32061,50 54 00N,142 10 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
ALEKSANDROVSKIJ SHLYUZ,264291995,29059,59 26 05N,089 17 10E,"GOS, RBSN(S)"
ALEKSANDROVSKIJ ZAVOD,264292445,30971,50 55 00N,117 56 00E,GOS
ALEKSANDROVSKOE,264291525,23955,60 26 00N,077 52 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
ALENCON,264304475,7139,48 26 44N,000 06 37E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
ALEPPO INT. AEROPORT,264309659,40007,36 11 00N,037 12 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
ALEPPO MESELME,264309703,40007,36 20 00N,037 13 00E,"AGRIMET, R, GOS"
ALERIA RADAR,264304751,7774,42 07 47N,009 29 47E,"RADAR, GOS, WRO"
"ALERT CLIMATE, NU",264297023,71355,82 30 00N,062 20 00W,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
"ALERT UA, NU",264298125,71082,82 30 00N,062 20 00W,"R, WN, GOS, GUAN, RBSN(T)"
ALESUND/VIGRA,264306665,1210,62 33 42N,006 06 54E,"A, C, GOS"
ALEVINA (MYS),264291775,25916,58 50 00N,151 21 00E,"GOS, RBSN(S)"
ALEXANDER BAY,264286541,68403,28 34 12S,016 31 43E,"A, GOS"
ALEXANDRA AERO AWS,264302207,93752,45 12 52S,169 22 31E,"A, GOS"
ALEXANDRIA,264307595,15489,43 58 41N,025 21 10E,"AGRIMET, GOS"
ALEXANDROUPOLI (AIRPORT),264305273,16627,40 51 26N,025 56 49E,"A, AGRIMET, GOS"
ALFELD,264304991,10442,51 57 52N,009 48 26E,"CLIMAT(C), GOS"
